,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species,edibility,foray_zip_code
114,114,114,114,114,Amanita bisporigera,Eastern North American Destroying Angel,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,bisporigera,1,63960
115,115,115,115,115,Amanita polypyramis,Plateful of Pyramids Lepidella,2010-09-24,University of Missouri Forestry Camp,9,2010,24,Amanita,polypyramis,1,63901
116,116,116,116,116,Agaricus flavorubens,Yellow American blusher,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Agaricus,flavorubens,3,63960
117,117,117,117,117,Agaricus flavorubens,Yellow American blusher,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Agaricus,flavorubens,3,63960
118,118,118,118,118,Amanita rhopalopus,American Club-Footed Lepidella,2010-09-24,Coldwater Conservation Area,9,2010,24,Amanita,rhopalopus,2,63964
119,119,119,119,119,Amanita bisporigera,Eastern North American Destroying Angel,2010-09-24,University of Missouri Forestry Camp,9,2010,24,Amanita,bisporigera,1,63901
120,120,120,120,120,Daedalea quercina,,2003-07-19,Meramec State Park,7,2003,19,Daedalea,quercina,2,63038
121,121,121,121,121,Lactarius piperatus,Peppery milkcap ,2003-07-19,Meramec State Park,7,2003,19,Lactarius,piperatus,3,63038
122,122,122,122,122,Lactarius subplinthogalus,,2003-07-19,Meramec State Park,7,2003,19,Lactarius,subplinthogalus,0,63038
123,123,123,123,123,Pluteus cervinus,Deer shield ,2003-07-19,Meramec State Park,7,2003,19,Pluteus,cervinus,0,63038
124,124,124,124,124,Sarcoscypha coccinea,,2003-07-19,Meramec State Park,7,2003,19,Sarcoscypha,coccinea,0,63038
125,125,125,125,125,Schizophyllum commune,Common Split Gill ,2003-07-19,Meramec State Park,7,2003,19,Schizophyllum,commune,0,63038
126,126,126,126,126,Trametes versicolor,Turkeytail ,2003-07-19,Meramec State Park,7,2003,19,Trametes,versicolor,4,63038
127,127,127,127,127,Exidia alba,,2003-05-03,Washington State Park,5,2003,3,Exidia,alba,0,63020
128,128,128,128,128,Pluteus cervinus,Deer shield ,2003-05-03,Washington State Park,5,2003,3,Pluteus,cervinus,0,63020
129,129,129,129,129,Pleurotus ostreatus,Oyster mushroom ,2003-05-03,Washington State Park,5,2003,3,Pleurotus,ostreatus,3,63020
