,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species
5431,Helvella elastica,,2011-05-15,Castlewood State Park,5,2011,15,Helvella,elastica
5432,Helvella acetabulum,,2011-05-15,Castlewood State Park,5,2011,15,Helvella,acetabulum
5433,Ductifera pululahuana,,2011-05-15,Castlewood State Park,5,2011,15,Ductifera,pululahuana
5434,Tremella mesenterica,Witches' Butter ,2011-05-15,Castlewood State Park,5,2011,15,Tremella,mesenterica
5435,Daldinia concentrica,Carbon Balls ,2011-05-15,Castlewood State Park,5,2011,15,Daldinia,concentrica
5436,Panus conchatus,,2011-05-15,Castlewood State Park,5,2011,15,Panus,conchatus
5437,Sarcoscypha occidentalis,Stalked Scarlet Cup ,2011-05-15,Castlewood State Park,5,2011,15,Sarcoscypha,occidentalis
5438,Stereum complicatum,Crowded parchment ,2011-05-15,Castlewood State Park,5,2011,15,Stereum,complicatum
5439,Polyporus radicatus,,2011-05-15,Castlewood State Park,5,2011,15,Polyporus,radicatus
5440,Abortiporus biennis,Blushing Rosette,2011-05-15,Castlewood State Park,5,2011,15,Abortiporus,biennis
5441,Amanita baningata,,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Amanita,baningata
5442,Trametes versicolor,Turkeytail,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Trametes,versicolor
5443,Lycogala flavofuscum,,2010-09-25,Mingo National Wildlife Refuge,9,2010,25,Lycogala,flavofuscum
5444,Boletus illudens,,2010-09-24,Coldwater Conservation Area,9,2010,24,Boletus,illudens
5445,Mycena leaiana,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Mycena,leaiana
5446,Pluteus mammillatus,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Pluteus,mammillatus
5447,Ceratiomyxa fruticulosa,Honeycomb Coral Slime Mold ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Ceratiomyxa,fruticulosa
5448,Lycogala epidendrum,Wolf's Milk ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Lycogala,epidendrum
5449,Metatrichia vesparium,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Metatrichia,vesparium
5450,Sarcoscypha occidentalis,Stalked Scarlet Cup ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Sarcoscypha,occidentalis
5451,Auricularia auricula-judae,Jelly ear,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Auricularia,auricula-judae
5452,Tremella fuciformis,Silver ear ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Tremella,fuciformis
5453,Sebacina pallida,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Sebacina,pallida
5454,Exidia recisa,Amber jelly ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Exidia,recisa
5455,Tremella mesenterica,Witches' Butter ,2009-09-18,Big Cane Conservation Area,9,2009,18,Tremella,mesenterica
5456,Tremella fuciformis,Silver ear ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Tremella,fuciformis
5457,Dacrymyces palmatus,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Dacrymyces,palmatus
5458,Cantharellus lateritius,Smooth Chanterelle ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Cantharellus,lateritius
5459,Artomyces pyxidatus,Crown-tipped Coral,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Artomyces,pyxidatus
5460,Phellinus gilvus,Mustard Yellow Polypore ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Phellinus,gilvus
5461,Byssomerulius incarnatus,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Byssomerulius,incarnatus
5462,Hericium erinaceus subsp. abietis,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Hericium,erinaceus
5463,Hericium erinaceus,Bearded tooth ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Hericium,erinaceus
5464,Hericium coralloides,Coral tooth ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Hericium,coralloides
5465,Abortiporus perennis,,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Abortiporus,perennis
5466,Bjerkandera adusta,Smoky bracket,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Bjerkandera,adusta
5467,Cerrena unicolor,Mossy Maze Polypore ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Cerrena,unicolor
5468,Daedaleopsis confragosa var. confragosa,Blushing bracket ,2009-09-19,Mingo National Wildlife Refuge,9,2009,19,Daedaleopsis,confragosa
5469,Cantharellus cibarius,Chanterelle ,2011-06-25,Rock Bridge State Park,6,2011,25,Cantharellus,cibarius
5470,Cantharellus lateritius,Smooth Chanterelle ,2011-06-25,Rock Bridge State Park,6,2011,25,Cantharellus,lateritius
5471,Crepidotus applanatus,Flat Crep ,2011-06-25,Rock Bridge State Park,6,2011,25,Crepidotus,applanatus
5472,Crucibulum crucibuliforme,White-egg Bird's Nest Fungus,2011-06-25,Rock Bridge State Park,6,2011,25,Crucibulum,crucibuliforme
5473,Daedaleopsis confragosa var. confragosa,Blushing bracket ,2011-06-25,Rock Bridge State Park,6,2011,25,Daedaleopsis,confragosa
5474,Polyporus alveolaris,,2011-06-25,Rock Bridge State Park,6,2011,25,Polyporus,alveolaris
5475,Galerina marginata,,2011-06-25,Rock Bridge State Park,6,2011,25,Galerina,marginata
5476,Galiella rufa,Hairy rubber cup ,2011-06-25,Rock Bridge State Park,6,2011,25,Galiella,rufa
5477,Hemitrichia clavata,,2011-06-25,Rock Bridge State Park,6,2011,25,Hemitrichia,clavata
5478,Hypomyces chrysospermus,Bolete mould ,2011-06-25,Rock Bridge State Park,6,2011,25,Hypomyces,chrysospermus
5479,Inocybe rimosa,Split fibrecap ,2011-06-25,Rock Bridge State Park,6,2011,25,Inocybe,rimosa
5480,Lepiota cristata,,2011-06-25,Rock Bridge State Park,6,2011,25,Lepiota,cristata
5481,Lycoperdon perlatum,Common puffball ,2011-06-25,Rock Bridge State Park,6,2011,25,Lycoperdon,perlatum
5482,Lycoperdon pyriforme,Pear-shaped Puffball ,2011-06-25,Rock Bridge State Park,6,2011,25,Lycoperdon,pyriforme
5483,Tetrapyrgos nigripes,Black-footed Marasmius ,2011-06-25,Rock Bridge State Park,6,2011,25,Tetrapyrgos,nigripes
5484,Marasmius rotula,Collared parachute ,2011-06-25,Rock Bridge State Park,6,2011,25,Marasmius,rotula
5485,Marasmius sullivantii,,2011-06-25,Rock Bridge State Park,6,2011,25,Marasmius,sullivantii
